outcome,panel,year,estimate,se,ci_low,ci_high
Federal Funding,1,2014,.0170543398277696,.062168803,-.10480484,.13891353
Federal Funding,1,2015,.0242592284070858,.053611819,-.080827124,.12934558
Federal Funding,1,2016,.0239626937215397,.041633878,-.057645284,.10557067
Federal Funding,1,2017,0,0,0,0
Federal Funding,1,2018,-.0353936905340474,.04455312,-.12272377,.051936392
Federal Funding,1,2019,-.1458294348101112,.065688424,-.27458754,-.017071316
Federal Funding,1,2020,-.1845116481927031,.078682356,-.3387396,-.03028368
Federal Funding,1,2021,-.2104966232371405,.086346462,-.37974727,-.04124599
Federal Funding,1,2022,-.2333216600592204,.093537949,-.41666859,-.04997474
Federal Funding,1,2023,-.2566706501089913,.10115206,-.45494226,-.058399044
U.S. Funding,2,2014,.0371593645761255,.061479494,-.083348684,.15766741
U.S. Funding,2,2015,.0287764472013212,.053205501,-.075513467,.13306636
U.S. Funding,2,2016,.023710183821082,.041341905,-.057325494,.10474586
U.S. Funding,2,2017,0,0,0,0
U.S. Funding,2,2018,-.0459342298951903,.044811223,-.13377023,.041901775
U.S. Funding,2,2019,-.1511971106587149,.065869585,-.28031033,-.022083903
U.S. Funding,2,2020,-.172294125924678,.078609593,-.32637948,-.018208781
U.S. Funding,2,2021,-.2315994188669291,.086404383,-.4009636,-.06223524
U.S. Funding,2,2022,-.2420812363432476,.093552172,-.42545602,-.058706447
U.S. Funding,2,2023,-.258352417384109,.10130543,-.45692465,-.059780195
Total Funding,3,2014,.002271291383543,.065032817,-.12520175,.12974434
Total Funding,3,2015,.0194254255271821,.055451918,-.089267768,.12811862
Total Funding,3,2016,.0171457668486593,.042602874,-.066361576,.1006531
Total Funding,3,2017,0,0,0,0
Total Funding,3,2018,.0264123781109948,.047745232,-.067174673,.11999943
Total Funding,3,2019,-.0246797618435947,.068901911,-.15973674,.11037721
Total Funding,3,2020,.0079098116153401,.081823647,-.15247551,.16829513
Total Funding,3,2021,-.0923805525817023,.089644931,-.26809663,.083335526
Total Funding,3,2022,-.1965760378939413,.096013062,-.38477451,-.0083775623
Total Funding,3,2023,-.3534299451725091,.10359099,-.55648214,-.15037774
Pivot Size,4,2014,-.004582102976187,.0028993194,-.010265158,.001100952
Pivot Size,4,2015,-.0002361927084245,.0028937974,-.0059084236,.0054360381
Pivot Size,4,2016,.0020418899781367,.0028614113,-.0035668602,.0076506403
Pivot Size,4,2017,0,0,0,0
Pivot Size,4,2018,.0018747740436946,.0028628348,-.0037367668,.007486315
Pivot Size,4,2019,.0136545179061862,.0030696194,.0076376521,.019671384
Pivot Size,4,2020,.0134934382832976,.0031086714,.0074000251,.019586852
Pivot Size,4,2021,.0123436048758856,.0031276783,.0062129353,.018474275
Pivot Size,4,2022,.0128120855474458,.0032616954,.006418725,.019205445
Pivot Size,4,2023,.0090785396763462,.0034337172,.0023479934,.015809085
