author_id,year,treat,log_us_federal_amount,log_us_amount,log_all_amount,log_us_federal_grant_count,log_us_grant_count,log_all_grant_count,reference_overlap,word2vec_topic_exploration_30,concept_pivot_new_share_01,topic_change,career_age,log_paper_count,log_cf,log_all_us_collaborators_count,ethnically_chinese,non_ethnically_chinese,high_list_related_field,low_list_related_field,junior_scientist,senior_scientist
1,2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.071700871,0.067690544,0.56869012,0.67501545,13,1.7917595,0.82924509,2.8332133,1,0,0,1,1,0
1,2015,1,0.0,0.0,11.68666,0.0,0.0,0.69314718,0.087286711,0.084967069,0.64594597,0.74702352,14,2.7725887,0.45887432,2.0794415,1,0,0,1,1,0
1,2016,1,0.0,0.0,11.807115,0.0,0.0,1.0986123,0.17406794,,0.65040648,0.76442349,15,2.5649493,0.89997733,0.0,1,0,0,1,1,0
1,2017,1,0.0,0.0,11.844382,0.0,0.0,1.6094379,0.16233225,0.11637169,0.72034955,0.78052902,16,3.0910425,0.62939143,1.6094379,1,0,0,1,1,0
1,2018,1,0.0,0.0,11.887215,0.0,0.0,2.0794415,0.27285275,0.10983004,0.6524272,0.65634906,17,2.6390574,0.67602623,2.4849067,1,0,0,1,1,0
1,2019,1,0.0,0.0,10.348392,0.0,0.0,2.1972246,0.27054426,0.075464055,0.57283145,0.68422252,18,2.5649493,1.0856638,3.0445225,1,0,0,1,1,0
1,2020,1,0.0,0.0,9.9164295,0.0,0.0,2.1972246,0.33172321,,0.53696495,0.70243645,19,2.3978953,0.54163128,0.0,1,0,0,1,1,0
1,2021,1,0.0,0.0,9.3611841,0.0,0.0,1.6094379,0.42464453,0.087888189,0.58995813,0.70836443,20,2.7080503,0.60093594,2.4849067,1,0,0,1,1,0
1,2022,1,0.0,0.0,8.4732475,0.0,0.0,1.0986123,0.1261532,0.095708534,0.68055558,0.7298373,21,2.7080503,0.63041633,3.2580965,1,0,0,1,1,0
1,2023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2334249,,,0.71394932,22,2.4849067,0.54576439,0.0,1,0,0,1,1,0
2,2014,0,11.596697,11.596697,11.596697,0.69314718,0.69314718,0.69314718,0.24371639,0.18061134,0.67256635,0.44464105,12,2.3025851,1.6622039,3.6375861,0,1,0,1,1,0
2,2015,0,11.596697,11.596697,11.596697,0.69314718,0.69314718,0.69314718,0.33537757,0.1193103,0.66213924,0.38802046,13,2.7080503,1.3797413,4.3820267,0,1,0,1,1,0
2,2016,0,13.120975,13.120975,13.120975,1.0986123,1.0986123,1.0986123,0.36731696,0.11504587,0.69090909,0.33543554,14,2.7080503,1.0574291,3.5263605,0,1,0,1,1,0
2,2017,0,13.120975,13.120975,13.120975,1.0986123,1.0986123,1.0986123,0.43959156,0.1480841,0.68870968,0.35487753,15,2.6390574,1.0113624,4.0073333,0,1,0,1,1,0
2,2018,0,12.875361,12.875361,12.875361,0.69314718,0.69314718,0.69314718,0.34585971,0.11795135,0.75695157,0.41785699,16,3.2188759,0.82087439,4.8362818,0,1,0,1,1,0
2,2019,0,13.274436,13.274436,13.274436,1.0986123,1.0986123,1.0986123,0.48829204,0.1288189,0.487988,0.27340147,17,2.8332133,1.1513988,4.3307333,0,1,0,1,1,0
2,2020,0,14.203517,14.203517,14.203517,1.6094379,1.6094379,1.6094379,0.38725063,0.13501155,0.63903952,0.50941229,18,3.7376697,0.71807754,4.8675346,0,1,0,1,1,0
2,2021,0,14.203517,14.203517,14.203517,1.6094379,1.6094379,1.6094379,0.40075839,0.15129969,0.7123369,0.59197998,19,3.8286414,1.496012,5.5134287,0,1,0,1,1,0
2,2022,0,14.203517,14.203517,14.203517,1.6094379,1.6094379,1.6094379,0.45609447,0.15067255,0.63770491,0.51351225,20,3.4657359,0.66644084,4.8362818,0,1,0,1,1,0
2,2023,0,13.895679,13.895679,13.895679,1.3862944,1.3862944,1.3862944,0.53699869,,,0.60107565,21,3.3322046,0.94682181,4.6634393,0,1,0,1,1,0
3,2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43253967,0.1217766,0.63125002,0.5532499,18,1.3862944,0.41148451,1.9459101,1,0,0,1,0,1
3,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15679824,0.15893431,0.71895427,0.70270562,19,1.3862944,0.81061089,1.7917595,1,0,0,1,0,1
3,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.11616838,0.57534248,0.68259645,20,0.69314718,0.57086092,0.0,1,0,0,1,0,1
3,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.31545454,0.12105729,0.63562751,0.68844396,21,1.6094379,0.4487313,2.3025851,1,0,0,1,0,1
3,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.11251526,0.14362632,0.68862277,0.73136526,22,1.3862944,0.27847314,1.3862944,1,0,0,1,0,1
3,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.075880103,0.4868421,0.31187117,23,0.69314718,0.28871232,1.7917595,1,0,0,1,0,1
3,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25931495,0.10804247,0.52542371,0.583179,24,1.3862944,0.39193711,1.6094379,1,0,0,1,0,1
3,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14899123,0.11082373,0.6903553,0.6950106,25,1.6094379,0.23419872,1.9459101,1,0,0,1,0,1
3,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.37931034,0.085784547,0.46511629,0.44789997,26,0.69314718,0.49695295,1.0986123,1,0,0,1,0,1
3,2023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,,,0.59964854,27,0.69314718,0.28449938,0.69314718,1,0,0,1,0,1
4,2014,1,12.918669,12.918669,12.918669,0.69314718,0.69314718,0.69314718,0.23062514,0.11240762,0.56641603,0.56376731,19,2.0794415,1.2244867,3.8286414,0,1,0,1,0,1
4,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.37395415,0.11820839,0.5247525,0.5277555,20,2.1972246,1.2150741,3.9120231,0,1,0,1,0,1
4,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.31456959,0.12712446,0.53873241,0.64260179,21,1.9459101,1.4170359,3.8501475,0,1,0,1,0,1
4,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.18829614,0.16285272,0.61202186,0.71371788,22,2.1972246,0.66805971,3.6375861,0,1,0,1,0,1
4,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12212644,0.13020489,0.41711229,0.58188289,23,1.3862944,0.32304138,3.0910425,0,1,0,1,0,1
4,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.082792208,0.18248379,0.47741935,0.89733773,24,1.0986123,1.2496608,2.0794415,0,1,0,1,0,1
4,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.16666667,0.13538384,0.70731705,0.92395365,25,1.0986123,0.76141775,2.5649493,0,1,0,1,0,1
4,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,26,0.0,0.0,0.0,0,1,0,1,0,1
4,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,27,0.0,0.0,0.0,0,1,0,1,0,1
4,2023,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,28,0.0,0.0,0.0,0,1,0,1,0,1
5,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.089777045,0.53658539,0.78533095,6,0.69314718,0.55632704,0.69314718,0,1,1,0,1,0
5,2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.10386126,0.72340423,0.50465959,7,1.0986123,0.91639435,2.3025851,0,1,1,0,1,0
5,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096023373,0.74390244,0.53033942,8,0.69314718,0.54457104,1.9459101,0,1,1,0,1,0
5,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14945056,0.096007235,0.75595236,0.58042872,9,1.3862944,0.70915908,2.3978953,0,1,1,0,1,0
5,2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13475177,0.096914746,0.67924529,0.43103448,10,1.0986123,0.66838652,2.0794415,0,1,1,0,1,0
5,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11,0.0,0.0,0.0,0,1,1,0,1,0
5,2020,0,0.0,0.0,0.0,0.0,0.0,0.0,0.011797586,0.16215526,0.78723407,0.67667168,12,1.7917595,0.29849589,1.9459101,0,1,1,0,1,0
5,2021,0,11.720996,11.720996,11.720996,0.69314718,0.69314718,0.69314718,0.56129777,0.2771953,0.83333331,0.69785869,13,2.0794415,0.28591812,2.8903718,0,1,1,0,1,0
5,2022,0,11.720996,11.720996,11.720996,0.69314718,0.69314718,0.69314718,0.14285715,0.088863239,0.83823532,0.50081801,14,1.3862944,0.2771087,2.4849067,0,1,1,0,1,0
5,2023,0,12.08558,12.08558,12.08558,1.0986123,1.0986123,1.0986123,0.35185185,,,0.55366069,15,0.69314718,0.0,0.0,0,1,1,0,1,0
6,2014,1,13.59097,13.59097,13.59097,1.6094379,1.6094379,1.6094379,0.32897866,0.1715965,0.63385826,0.46823815,20,2.7080503,0.94565725,4.1431346,1,0,1,0,0,1
6,2015,1,13.768541,13.768541,13.768541,1.7917595,1.7917595,1.7917595,0.26359269,0.16747378,0.6625874,0.53377438,21,2.7080503,1.3021821,4.4188404,1,0,1,0,0,1
6,2016,1,13.490737,13.490737,13.490737,1.9459102,1.9459102,1.9459102,0.18095592,0.20977181,0.6875,0.65488839,22,2.7725887,0.99500257,4.2626801,1,0,1,0,0,1
6,2017,1,13.490737,13.490737,13.490737,1.9459102,1.9459102,1.9459102,0.32448918,0.15592746,0.61904764,0.34302491,23,2.3978953,0.98936588,3.7612002,1,0,1,0,0,1
6,2018,1,13.759023,13.759023,13.759023,2.0794415,2.0794415,2.0794415,0.35459119,0.1795572,0.69617707,0.49404171,24,3.4657359,1.2879887,4.8598123,1,0,1,0,0,1
6,2019,1,14.092998,14.092998,14.092998,2.1972246,2.1972246,2.1972246,0.40837216,0.17659363,0.62406945,0.38352555,25,3.1780539,1.029819,4.6443911,1,0,1,0,0,1
6,2020,1,14.198452,14.198452,14.198452,2.1972246,2.1972246,2.1972246,0.38430497,0.16772626,0.63648647,0.3500149,26,3.1354942,0.9420628,4.4543471,1,0,1,0,0,1
6,2021,1,14.124749,14.124749,14.124749,2.0794415,2.0794415,2.0794415,0.33511731,0.18627064,0.59058487,0.44970393,27,3.1354942,1.0300719,4.1108737,1,0,1,0,0,1
6,2022,1,14.567292,14.567292,14.567292,2.3025851,2.3025851,2.3025851,0.47729939,0.16045134,0.63257068,0.39102739,28,3.2188759,1.0557295,4.1108737,1,0,1,0,0,1
6,2023,1,14.552532,14.552532,14.552532,2.1972246,2.1972246,2.1972246,0.47237334,0.20658576,0.65079367,0.48411644,29,2.9444389,0.66250712,4.5747108,1,0,1,0,0,1
7,2014,0,13.805275,13.805275,13.805275,1.3862944,1.3862944,1.3862944,0.52627027,0.12864187,0.40105078,0.40831476,23,2.6390574,0.71547109,3.8286414,0,1,0,1,0,1
7,2015,0,13.805275,13.805275,13.805275,1.3862944,1.3862944,1.3862944,0.43261284,0.129998,0.47913861,0.50492674,24,3.1780539,0.606233,3.6109178,0,1,0,1,0,1
7,2016,0,13.475482,13.475482,13.475482,1.0986123,1.0986123,1.0986123,0.4144333,0.13592361,0.50777203,0.47499812,25,2.7725887,0.69465566,3.713572,0,1,0,1,0,1
7,2017,0,13.475482,13.475482,13.475482,1.0986123,1.0986123,1.0986123,0.34087634,0.14117402,0.53709197,0.60876501,26,2.7725887,0.89436156,3.8918202,0,1,0,1,0,1
7,2018,0,13.731726,13.731726,13.731726,1.3862944,1.3862944,1.3862944,0.26408011,0.1354156,0.40880504,0.59794408,27,2.0794415,0.85226923,3.2580965,0,1,0,1,0,1
7,2019,0,13.731726,13.731726,13.731726,1.3862944,1.3862944,1.3862944,0.24388707,0.11322942,0.48932678,0.53222412,28,2.7080503,0.65945649,3.4965076,0,1,0,1,0,1
7,2020,0,12.244716,12.244716,12.244716,0.69314718,0.69314718,0.69314718,0.31955487,0.11092451,0.52788103,0.56124127,29,2.3978953,0.4540599,3.4657359,0,1,0,1,0,1
7,2021,0,12.244716,12.244716,12.244716,0.69314718,0.69314718,0.69314718,0.42077133,0.11120876,0.53945249,0.54700667,30,2.6390574,0.59367359,4.0253515,0,1,0,1,0,1
7,2022,0,12.244716,12.244716,12.244716,0.69314718,0.69314718,0.69314718,0.36880365,0.10443185,0.59745222,0.57349193,31,2.7080503,0.62530571,3.9512436,0,1,0,1,0,1
7,2023,0,12.244716,12.244716,12.244716,0.69314718,0.69314718,0.69314718,0.34715816,,,0.56463081,32,2.5649493,0.61253875,3.8501475,0,1,0,1,0,1
8,2014,0,12.596699,12.596699,12.596699,1.3862944,1.3862944,1.3862944,0.37516764,0.17786571,0.556701,0.44488457,30,2.1972246,0.95001423,3.2188759,0,1,0,1,0,1
8,2015,0,13.330633,13.330633,13.330633,1.7917595,1.7917595,1.7917595,0.2260188,0.18160099,0.63690478,0.62129474,31,1.0986123,0.64586049,2.5649493,0,1,0,1,0,1
8,2016,0,13.570859,13.570859,13.570859,1.9459102,1.9459102,1.9459102,0.18756475,0.1572914,0.56281406,0.54138255,32,1.3862944,0.75662535,2.6390574,0,1,0,1,0,1
8,2017,0,13.537523,13.537523,13.545745,1.9459102,1.9459102,2.0794415,0.24741417,0.17485318,0.6691919,0.60166454,33,2.0794415,0.62775624,3.6109178,0,1,0,1,0,1
8,2018,0,13.453039,13.453039,13.461983,1.7917595,1.7917595,1.9459102,0.14548397,0.18430828,0.72887325,0.66205895,34,1.7917595,0.62625432,3.2188759,0,1,0,1,0,1
8,2019,0,13.279855,13.279855,13.290481,1.6094379,1.6094379,1.7917595,0.2673611,0.1449077,0.62325579,0.51281101,35,1.6094379,0.63396794,2.6390574,0,1,0,1,0,1
8,2020,0,13.045843,13.045843,13.045843,1.3862944,1.3862944,1.3862944,0.35865507,0.12515926,0.53072625,0.59132898,36,1.3862944,0.53913617,2.4849067,0,1,0,1,0,1
8,2021,0,13.045843,13.045843,13.045843,1.3862944,1.3862944,1.3862944,0.10714286,0.11787655,0.49019608,0.76607251,37,0.69314718,0.3318426,1.3862944,0,1,0,1,0,1
8,2022,0,13.045843,13.045843,13.045843,1.3862944,1.3862944,1.3862944,0.30434781,0.15308328,0.5724138,0.61937535,38,1.0986123,0.32457438,2.1972246,0,1,0,1,0,1
8,2023,0,12.443689,12.443689,12.443689,1.0986123,1.0986123,1.0986123,,,,,39,0.0,0.0,0.0,0,1,0,1,0,1
9,2014,1,0.0,0.0,9.3754597,0.0,0.0,0.69314718,0.12512776,0.072137527,0.61081082,0.52233517,5,2.0794415,0.7596209,2.1972246,1,0,0,1,1,0
9,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.083005391,0.14862098,0.72105265,0.4758625,6,1.6094379,1.5000051,3.5553482,1,0,0,1,1,0
9,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.30657497,0.082841739,0.69776118,0.59577572,7,1.7917595,0.45473704,3.4657359,1,0,0,1,1,0
9,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25229537,0.10157093,0.74482757,0.61345708,8,2.1972246,0.81678528,3.6888795,1,0,0,1,1,0
9,2018,1,0.0,0.0,7.848031,0.0,0.0,0.69314718,,,,,9,0.0,0.0,0.0,1,0,0,1,1,0
9,2019,1,0.0,0.0,7.848031,0.0,0.0,0.69314718,0.043478262,0.10452762,0.69607842,0.62613827,10,1.0986123,0.53817725,2.0794415,1,0,0,1,1,0
9,2020,1,0.0,0.0,7.848031,0.0,0.0,0.69314718,0.0,0.17412996,0.85714287,0.68961531,11,0.69314718,0.41732439,2.1972246,1,0,0,1,1,0
